Baq_Solar,Bog_Solar,Cali_Solar,Ctg_Solar,Med_Solar,StM_Solar,Baq_Wind,Bog_Wind,Cali_Wind,Ctg_Wind,Med_Wind,StM_Wind
0,0,0,0,0,0,106.4721,2.05155,0.651,114.80235,1.53045,101.6718
0,0,0,0,0,0,109.85385,1.60425,0.7509,118.40505,2.08005,102.53385
0,0,0,0,0,0,113.15475,0.92865,0.42375,122.8365,2.5983,102.843
0,0,0,0,0,0,115.85985,0.49695,0.58545,126.0729,3.17205,103.00905
0,0,0,0,0,0,115.78995,0.582,1.3377,128.1801,6.35055,101.1075
0,0,0,0,0,0,115.4019,0.4971,1.9479,127.90725,6.7152,102.888
0,0,0,0,0,0,114.5751,0.39225,1.42335,125.17245,6.21795,112.7895
0,0,0,0,0,0,106.5375,0.26835,1.06815,117.39045,4.959,112.9584
0,0,0,0,0,0,83.4393,0.35535,0.8424,96.2427,1.68495,108.9312
0,0,0,0,0,0,62.35065,0.57135,0.68355,73.65525,0.33615,93.5799
2.6718,13.18725,1.57515,2.56365,0.4059,3.0999,44.54775,0.86955,0.7071,53.5812,0.09435,78.62865
25.875,45.3102,11.8884,31.5861,6.02025,26.3895,28.4109,0.2958,0.7599,33.5835,0.04185,64.68885
58.35855,69.52785,24.83535,69.24075,14.33175,54.78135,19.1874,0.0393,2.4939,20.94765,0.0615,51.63405
88.05165,88.65195,35.1849,91.69065,29.48115,83.48625,11.829,0.00615,11.55195,11.7039,0.05475,38.70675
104.1138,100.6767,37.14345,104.20005,44.6037,104.37615,8.16435,0.006,20.0352,3.84,0.0105,32.4957
109.4073,103.7124,39.49845,109.47135,54.3753,114.411,7.93515,0.31575,25.2141,0.1593,0.00435,33.77805
107.66835,97.1853,29.02035,107.42565,56.6295,113.2857,13.7943,1.41615,34.39965,0.00645,0.0054,35.6259
98.28255,70.70835,24.4335,96.47445,49.34505,103.34895,26.3232,2.4387,37.25685,0.6702,0.0003,42.6321
79.5093,41.56065,20.23695,78.3126,34.9782,87.75285,40.9539,2.9907,23.7729,6.30855,0.0051,48.8757
57.83505,24.1101,16.47135,55.8657,19.63905,62.4012,54.135,2.5368,8.7363,16.2891,0.0057,51.4449
28.3869,7.6764,8.4039,23.8419,8.12925,29.07765,64.8474,1.09065,1.39185,30.09165,0,58.65225
2.80935,0.61275,1.7907,2.7435,0.7335,2.5299,66.22695,0.26115,0.20025,46.2393,0,61.0929
0,0,0,0,0,0,67.2477,0.162,0.0555,60.1254,0.01245,66.22845
0,0,0,0,0,0,68.49975,0.4485,0.00825,70.7034,0.0927,68.7126
0,0,0,0,0,0,68.661,0.9093,0.00075,79.09815,0.1164,69.5313
0,0,0,0,0,0,69.5298,1.16775,0.00015,84.8691,0.0744,70.3434
0,0,0,0,0,0,74.84625,1.55205,0.00015,88.4298,0.0156,80.6361
0,0,0,0,0,0,77.5317,1.64205,0.00045,88.81815,0.021,94.1451
0,0,0,0,0,0,72.63135,1.0386,0.00525,88.161,0.03735,93.3153
0,0,0,0,0,0,68.9112,0.66525,0.01875,88.2465,0.08355,96.28035
0,0,0,0,0,0,57.84345,0.4716,0.02865,81.6504,0.35685,94.94085
0,0,0,0,0,0,49.13235,0.32685,0.03345,74.07675,0.90675,91.5351
0,0,0,0,0,0,41.1234,0.1287,0.0546,62.9358,1.0752,87.44895
0,0,0,0,0,0,35.01135,0.0705,0.16545,51.48915,1.56705,83.99145
4.00515,10.45245,2.90685,3.17715,3.11925,4.767,34.49955,0.273,0.49035,43.3197,1.58175,84.33615
37.0275,42.85395,21.26685,34.3572,26.09505,38.24655,31.87335,0.53985,0.93555,34.76025,0.30015,82.05495
66.9822,72.80445,44.928,63.9975,52.93965,69.49395,30.27195,0.59595,5.349,26.60955,0.31845,79.3158
88.35885,90.6405,62.5101,86.70885,71.3256,89.75355,26.3994,0.55455,11.6025,19.1331,0.36285,70.83735
103.37535,102.06555,70.39065,102.19365,80.2632,105.6576,23.1831,0.9525,18.59355,11.5032,0.10155,64.91205
108.7119,106.22385,65.9928,108.4107,85.47945,112.37415,27.312,1.43025,29.2548,6.6243,0.01815,65.10405
108.97965,103.6626,50.7048,108.85305,80.7192,111.012,42.7803,1.61535,40.7994,7.6026,0.00345,68.9415
101.9778,94.6938,43.1907,101.1363,68.29545,103.1652,61.2606,1.64265,48.77295,14.51835,0.0003,74.69535
82.7922,73.79625,37.76625,82.635,53.4006,87.1923,79.02105,1.857,53.25165,28.5774,0,82.79595
64.5747,46.17435,26.20395,58.51545,35.25075,62.8722,91.91805,2.0913,56.0529,48.7719,0.0006,91.5084
34.4568,20.4015,14.7435,29.8863,16.05315,33.76125,101.1489,2.10105,53.64915,70.5984,0.02055,100.75845
4.1478,2.6547,2.6454,5.14095,2.2785,3.15345,101.94105,1.2732,37.29885,88.14285,0.03525,105.6666
0,0,0,0,0,0,102.18435,0.5922,28.89015,100.6872,0.01455,108.3174
0,0,0,0,0,0,102.52725,0.2955,29.07195,104.5362,0.0177,108.9528
0,0,0,0,0,0,102.5856,0.1254,27.63735,104.62065,0.11265,105.0534
0,0,0,0,0,0,103.14465,0.0273,20.8164,103.5309,0.70245,102.5697
0,0,0,0,0,0,102.9012,0.06135,10.3977,105.26505,0.90345,102.98565
0,0,0,0,0,0,100.9683,0.1281,3.70335,107.13675,0.42435,100.75395
0,0,0,0,0,0,96.8688,0.09765,1.32405,108.16815,0.10755,96.79455
0,0,0,0,0,0,92.04315,0.05745,0.80235,107.2521,0.02325,95.5962
0,0,0,0,0,0,83.46585,0.01995,0.46125,103.8741,0.0162,94.5669
0,0,0,0,0,0,72.2178,0.0066,0.168,97.5249,0.0087,92.31945
0,0,0,0,0,0,60.4932,0.0156,0.1272,88.4319,0.0078,84.64035
0,0,0,0,0,0,49.4388,0.01905,0.0564,76.60845,0.05445,77.36895
3.39945,4.82175,1.8804,2.8893,1.22895,3.5829,39.2094,0.0162,0.0645,64.78215,0.13005,69.5322
30.5781,26.7822,18.4194,31.2468,12.62415,29.93835,30.90075,0.00255,0.1623,49.13895,0.04035,59.66655
58.20855,57.41505,45.38085,60.75435,28.50555,57.36915,22.56615,0.00795,0.09015,33.84945,0.02535,47.7426
79.4415,86.90175,70.827,81.828,39.05625,78.0546,13.1877,0.04515,0.0417,19.31175,0.01155,34.35795
91.9671,103.38135,86.718,94.30815,47.6499,91.51935,8.63625,0.1593,0.0081,10.0473,0.0039,25.59315
99.16665,108.38175,91.9656,101.646,51.48345,100.61805,8.5338,0.4467,0.7815,6.1998,0.01005,20.9967
96.6204,102.67605,88.83315,102.6333,51.6336,97.3209,14.9739,0.97245,5.0808,8.0208,0.06435,25.77945
83.9712,80.1756,79.3233,96.14145,43.58955,85.69545,29.8701,1.58865,9.55605,14.64045,0.2937,34.14555
69.867,60.30675,61.81335,82.11555,33.98355,67.07445,48.39495,1.58835,12.97065,24.3126,0.4914,42.94545
52.8522,36.76755,43.23705,62.5989,21.9594,44.59785,63.42975,1.1943,13.66185,34.6095,0.5274,58.09905
29.84925,16.6902,21.00435,33.57525,9.65955,22.75725,72.45735,1.8717,13.0731,44.05065,0.1662,64.7826
3.9474,1.935,4.06665,5.70915,0.9552,2.1501,69.53115,1.374,9.96915,53.25135,0.1047,64.5765
0,0,0,0,0,0,66.6378,1.54725,5.57565,65.77605,0.4419,61.4997
0,0,0,0,0,0,64.32345,1.88835,2.54655,70.58175,1.17375,61.0947
0,0,0,0,0,0,57.4266,1.67715,1.0911,68.08395,1.9464,58.6533
0,0,0,0,0,0,55.1355,1.2702,0.69225,64.5309,3.219,56.8395
0,0,0,0,0,0,52.9596,0.82965,0.51735,62.4012,3.59235,52.18395
0,0,0,0,0,0,52.3551,0.5964,0.5817,64.22355,2.6958,49.4721
0,0,0,0,0,0,53.25345,0.7356,0.94875,69.3009,2.5767,48.0072
0,0,0,0,0,0,55.65615,1.12905,1.19355,74.931,2.4825,48.39255
0,0,0,0,0,0,58.65345,1.62615,0.8841,80.2296,1.9809,51.76755
0,0,0,0,0,0,59.53755,1.0416,0.3456,83.02245,1.38525,54.8997
0,0,0,0,0,0,58.2531,0.9231,0.3696,83.05095,0.9198,54.1692
0,0,0,0,0,0,55.6026,0.90525,0.45555,81.67335,0.6702,51.70725
5.8674,8.8065,6.26805,4.6386,4.7865,6.89445,52.8615,0.7215,0.3612,77.99625,0.39735,50.51535
44.43315,37.39365,38.9793,42.20385,35.3151,45.3777,56.4408,0.7218,0.30705,76.4508,0.17895,46.68315
74.29785,65.5449,74.2167,72.7371,70.95585,77.03715,54.0684,1.1952,0.22485,69.44805,0.38085,38.48325
94.72245,86.4243,98.5173,93.83115,85.9563,97.32165,43.33845,1.20525,0.47415,55.70775,0.33855,28.79055
107.35185,99.2166,108.4761,107.00085,101.0538,109.75095,38.385,1.5606,1.84455,45.06285,0.47055,23.7459
112.16355,104.23335,107.76435,112.7013,101.63355,115.2357,39.44685,2.0148,8.8797,39.2085,1.14435,24.4752
109.34865,100.76775,109.56855,111.7794,86.61075,112.9389,44.9967,2.2806,16.10835,37.96185,2.1924,27.83415
98.5422,83.34405,95.81535,104.5473,79.0905,104.2524,52.9152,2.5431,20.277,42.00255,3.00975,31.97865
84.5652,65.3721,77.34885,90.9471,65.85195,89.5197,59.8041,2.7462,20.6082,50.78775,2.42415,34.10865
67.07685,39.6102,58.29585,70.2393,42.10005,65.6868,64.2639,2.97225,18.5427,60.0759,1.01655,34.1127
38.98245,21.07845,35.17785,39.07455,24.561,34.0713,65.7891,2.8761,15.5952,65.67225,0.2094,40.44705
5.6433,3.31725,8.8737,7.26105,3.67605,3.6927,60.50175,1.3524,11.46015,66.64095,0.15795,40.2987
0,0,0,0,0,0,54.23955,0.7158,6.24135,70.0914,0.0903,38.574
0,0,0,0,0,0,52.86195,0.4887,2.22045,72.13005,0.051,40.2195
0,0,0,0,0,0,51.0807,0.35775,0.942,70.90455,0.03225,40.80225
0,0,0,0,0,0,50.50935,0.26205,0.73155,69.2919,0.0261,41.7024
0,0,0,0,0,0,50.64045,0.16695,1.0674,69.94455,0.02445,42.6588
0,0,0,0,0,0,56.5083,0.10635,1.71345,73.66485,0.0384,44.99685
0,0,0,0,0,0,59.26275,0.13605,2.1783,76.0368,0.09105,48.15375
0,0,0,0,0,0,64.83195,0.21135,2.826,80.68455,0.2142,51.9219
0,0,0,0,0,0,70.884,0.21165,3.516,87.91095,0.3768,54.2436
0,0,0,0,0,0,73.66545,0.1659,3.93345,90.4443,0.4215,56.0352
0,0,0,0,0,0,66.22485,0.1254,2.3877,89.32455,0.10215,54.60015
0,0,0,0,0,0,60.17355,0.06405,0.9216,86.6583,0.00375,51.80265
